plik,czas_dyn,czas_aproks,stos_czas_dyn_aproks,czas_bb,koszt_dyn,koszt_aproks,stos_koszt_dyn_aproks,koszt_bb
data/4/4_0.tsp,129556,23318,5.55605,50365,272,272,1,272
data/4/4_1.tsp,122617,31483,3.89471,64735,234,264,1.12821,234
data/4/4_2.tsp,157323,34477,4.56313,70843,245,245,1,245
data/4/4_3.tsp,158096,32805,4.81927,69760,268,268,1,268
data/4/4_4.tsp,159584,34807,4.58482,74268,272,272,1,272
data/4/4_5.tsp,158555,28299,5.60285,50523,271,282,1.04059,271
data/4/4_6.tsp,107919,19029,5.67129,52767,294,294,1,294
data/4/4_7.tsp,105488,21660,4.87018,46936,325,340,1.04615,325
data/4/4_8.tsp,104193,20612,5.05497,46719,271,271,1,271
data/4/4_9.tsp,108598,21155,5.13344,65112,275,275,1,275
data/4/4_10.tsp,107334,23529,4.56177,45354,257,279,1.0856,257
data/4/4_11.tsp,108591,21430,5.06724,45400,343,343,1,343
data/4/4_12.tsp,105894,22070,4.7981,43717,253,253,1,253
data/4/4_13.tsp,161581,26646,6.06399,66906,338,338,1,338
data/4/4_14.tsp,158133,31266,5.05767,82194,258,258,1,258
data/4/4_15.tsp,161164,30870,5.22073,73417,239,239,1,239
data/4/4_16.tsp,157346,33006,4.76719,71361,290,290,1,290
data/4/4_17.tsp,160159,32441,4.93693,72241,257,257,1,257
data/4/4_18.tsp,159398,32640,4.88352,74566,287,290,1.01045,287
data/4/4_19.tsp,161680,33984,4.75753,74004,287,287,1,287
data/4/4_20.tsp,179341,34047,5.26745,71988,265,265,1,265
data/4/4_21.tsp,157984,32815,4.81438,74808,247,268,1.08502,247
data/4/4_22.tsp,166366,33091,5.02753,88246,320,320,1,320
data/4/4_23.tsp,169976,67514,2.51764,71454,276,282,1.02174,276
data/4/4_24.tsp,155410,31027,5.00886,82885,272,275,1.01103,272
data/4/4_25.tsp,170493,32753,5.20542,71230,320,320,1,320
data/4/4_26.tsp,169100,34493,4.90244,72736,232,232,1,232
data/4/4_27.tsp,187865,48993,3.83453,66218,252,252,1,252
data/4/4_28.tsp,161491,38507,4.19381,70291,310,310,1,310
data/4/4_29.tsp,138458,23094,5.99541,50753,275,275,1,275
data/5/5_0.tsp,323293,33122,9.76067,125382,329,329,1,329
data/5/5_1.tsp,342005,32290,10.5917,116388,361,387,1.07202,361
data/5/5_2.tsp,333514,34460,9.67829,109574,354,360,1.01695,354
data/5/5_3.tsp,276798,28317,9.77498,114828,346,349,1.00867,346
data/5/5_4.tsp,273392,27109,10.0849,120081,369,393,1.06504,369
data/5/5_5.tsp,273121,31313,8.72229,111948,347,358,1.0317,347
data/5/5_6.tsp,273140,32666,8.3616,107439,315,333,1.05714,315
data/5/5_7.tsp,274287,27900,9.83108,114490,288,288,1,288
data/5/5_8.tsp,273214,28926,9.44527,108568,304,335,1.10197,304
data/5/5_9.tsp,278330,31707,8.77819,108960,358,366,1.02235,358
data/5/5_10.tsp,272595,30776,8.85739,108401,371,371,1,371
data/5/5_11.tsp,320970,26629,12.0534,108645,333,333,1,333
